,,,,,,,,,,,
,Portfolio Summary: January - October Year on Year,,,,,,,,,,
,,,,,,ADR,ADR,DIFF,,,
,,2024,2025,+/-,+/- (%),2024,2025,,,,
,Portico,"£2,309,327","£2,145,154","-£164,172",-7.1%,£154,£143,-£11,,,
,The 29,"£1,746,735","£1,742,908","-£3,827",-0.2%,£123,£122,£0,,,
,The W14,"£2,474,166","£2,691,479","£217,313",8.8%,£104,£113,£9,,,
,St George Victoria,"£961,469","£1,021,985","£60,516",6.3%,£115,£122,£7,,,
,Maiden Oval,"£1,237,696","£1,330,807","£93,111",7.5%,£89,£96,£7,,,
,Tudor,"£568,564","£469,457","-£99,107",-17.4%,£111,£92,-£19,,,
,The House on Warwick,"£2,635,487","£2,645,134","£9,647",0.4%,£129,£129,£0,,,
,The House of Toby,"£2,333,478","£2,239,579","-£93,898",-4.0%,£133,£128,-£5,,,
,Pack & Carriage,"£677,327","£649,651","-£27,676",-4.1%,£133,£127,-£5,,,
,Hyde Park Green,"£849,535","£938,914","£89,379",10.5%,£129,£143,£14,,,
,,,,,,,,,,,
,TOTAL,"£15,793,783","£15,875,069","£81,287",0.5%,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,The Portico,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£102,£110,£8,"£133,580","£131,193","-£2,387",Archan,Darshan,Bushra
,,February,£111,£116,£5,"£136,813","£123,022","-£13,791",,,
,,March,£132,£116,-£17,"£178,295","£149,459","-£28,835",,,
,,April,£152,£134,-£18,"£194,384","£170,555","-£23,829",,,
,,May,£165,£142,-£24,"£216,828","£185,812","-£31,016",,,
,,June,£176,£158,-£18,"£219,956","£202,705","-£17,251",,,
,,July,£181,£174,-£7,"£240,473","£226,762","-£13,711",,,
,,August,£153,£141,-£11,"£196,301","£183,546","-£12,755",,,
,,September,£144,£148,£5,"£180,201","£189,280","£9,078",,,
,,October,£157,£152,-£5,"£197,923","£196,311","-£1,612",,,
,,November,£157,£130,-£26,"£200,708","£163,808","-£36,900",,,
,,December,£165,£174,£8,"£213,866","£222,702","£8,836",,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,The 29,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£78,£82,£3,"£97,370","£97,006",-£365,,,
,,February,£85,£93,£8,"£102,590","£90,846","-£11,744",,,
,,March,£102,£102,£0,"£129,244","£118,768","-£10,477",,,
,,April,£116,£105,-£12,"£139,952","£130,943","-£9,009",,,
,,May,£120,£120,£0,"£156,320","£159,099","£2,778",,,
,,June,£130,£142,£12,"£159,495","£180,203","£20,707",,,
,,July,£137,£148,£11,"£172,203","£193,722","£21,519",,,
,,August,£119,£116,-£3,"£146,835","£153,488","£6,654",,,
,,September,£117,£114,-£3,"£143,898","£146,944","£3,046",,,
,,October,£128,£118,-£10,"£157,696","£152,517","-£5,179",,,
,,November,£126,£116,-£11,"£158,360","£126,884","-£31,476",,,
,,December,£141,,-£141,"£182,772","£192,489","£9,717",,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,The W14,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£75,£66,-£9,"£145,989","£117,631","-£28,358",,,
,,February,£80,£78,-£2,"£151,528","£126,671","-£24,857",,,
,,March,£102,£96,-£6,"£199,897","£187,472","-£12,425",,,
,,April,£106,£97,-£9,"£198,655","£193,883","-£4,772",,,
,,May,£117,£117,£0,"£237,057","£237,265",£208,,,
,,June,£127,£135,£7,"£247,020","£268,896","£21,876",,,
,,July,£127,£141,£13,"£266,219","£290,753","£24,534",,,
,,August,£99,£115,£16,"£191,438","£236,958","£45,520",,,
,,September,£101,£127,£26,"£197,796","£257,468","£59,672",,,
,,October,£103,£125,£21,"£206,165","£254,407","£48,242",,,
,,November,£105,£125,£19,"£205,491","£243,806","£38,315",,,
,,December,£109,,-£109,"£226,911","£276,269","£49,358",,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,St George Victoria,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£93,£90,-£3,"£62,550","£58,879","-£3,671",,,
,,February,£92,£93,£0,"£61,084","£55,052","-£6,032",,,
,,March,£105,£110,£5,"£69,749","£72,005","£2,256",,,
,,April,£121,£109,-£12,"£75,961","£73,331","-£2,629",,,
,,May,£129,£125,-£4,"£88,769","£86,951","-£1,819",,,
,,June,£142,£144,£2,"£93,221","£97,866","£4,645",,,
,,July,£137,£147,£10,"£95,681","£105,268","£9,587",,,
,,August,£113,£121,£8,"£76,859","£85,902","£9,043",,,
,,September,£118,£137,£19,"£76,861","£95,615","£18,754",,,
,,October,£125,£134,£9,"£83,941","£91,644","£7,703",,,
,,November,£124,£121,-£3,"£83,787","£77,834","-£5,954",,,
,,December,£131,,-£131,"£93,007","£121,639","£28,632",,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,Maiden Oval,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£66,£68,£2,"£70,250","£73,438","£3,188",,,
,,February,£73,£73,£1,"£73,815","£70,919","-£2,896",,,
,,March,£88,£81,-£8,"£89,160","£88,107","-£1,053",,,
,,April,£91,£81,-£10,"£93,644","£91,076","-£2,569",,,
,,May,£107,£95,-£12,"£120,274","£113,927","-£6,348",,,
,,June,£111,£110,-£1,"£119,781","£132,726","£12,945",,,
,,July,£108,£112,£4,"£123,444","£138,584","£15,140",,,
,,August,£90,£93,£3,"£99,292","£114,774","£15,482",,,
,,September,£96,£99,£3,"£103,001","£119,616","£16,615",,,
,,October,£100,£98,-£2,"£111,132","£120,467","£9,335",,,
,,November,£100,£103,£3,"£111,589","£120,955","£9,366",,,
,,December,£106,£131,£25,"£122,313","£146,218","£23,905",,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,Tudor Inn,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£89,£79,-£10,"£37,425","£28,146","-£9,279",,,
,,February,£91,£85,-£7,"£38,083","£29,835","-£8,248",,,
,,March,£101,£86,-£16,"£45,034","£34,755","-£10,279",,,
,,April,£104,£91,-£13,"£43,874","£36,618","-£7,256",,,
,,May,£111,£100,-£11,"£49,127","£42,150","-£6,977",,,
,,June,£121,£107,-£14,"£52,574","£44,752","-£7,821",,,
,,July,£123,£108,-£15,"£54,995","£47,257","-£7,738",,,
,,August,£96,£89,-£7,"£42,344","£37,669","-£4,675",,,
,,September,£117,£97,-£21,"£48,805","£40,277","-£8,528",,,
,,October,£120,£91,-£29,"£52,736","£39,529","-£13,207",,,
,,November,£119,£96,-£23,"£49,607","£39,071","-£10,536",,,
,,December,£125,£111,-£14,"£53,959","£49,397","-£4,562",,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,The House on Warwick,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£86,£100,£14,"£89,858","£162,388","£72,530",,,
,,February,£91,£106,£15,"£108,069","£156,775","£48,705",,,
,,March,£115,£116,£1,"£152,866","£194,966","£42,100",,,
,,April,£132,£121,-£12,"£211,076","£199,624","-£11,452",,,
,,May,£157,£132,-£25,"£268,631","£227,253","-£41,377",,,
,,June,£173,£156,-£17,"£290,693","£261,264","-£29,430",,,
,,July,£163,£159,-£4,"£279,284","£278,105","-£1,179",,,
,,August,£130,£126,-£3,"£222,208","£214,866","-£7,342",,,
,,September,£139,£146,£7,"£232,116","£238,456","£6,340",,,
,,October,£149,£136,-£13,"£258,769","£227,477","-£31,292",,,
,,November,£148,£139,-£9,"£248,466","£225,351","-£23,115",,,
,,December,£159,£156,-£3,"£273,449","£258,610","-£14,840",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,The House of Toby,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£102,£97,-£5,"£139,978","£139,383",-£595,,,
,,February,£101,£104,£3,"£126,915","£137,059","£10,144",,,
,,March,£120,£111,-£9,"£155,457","£168,052","£12,595",,,
,,April,£127,£115,-£12,"£168,205","£174,547","£6,342",,,
,,May,£144,£129,-£15,"£215,399","£202,261","-£13,138",,,
,,June,£160,£142,-£18,"£235,123","£215,335","-£19,788",,,
,,July,£160,£144,-£16,"£245,301","£228,692","-£16,610",,,
,,August,£128,£120,-£7,"£192,874","£186,725","-£6,149",,,
,,September,£140,£130,-£10,"£202,069","£197,570","-£4,499",,,
,,October,£147,£129,-£17,"£219,472","£200,130","-£19,342",,,
,,November,£144,£131,-£13,"£213,260","£195,503","-£17,757",,,
,,December,£140,,-£140,"£219,424","£194,323","-£25,101",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,Pack & Carriage,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£99,£92,-£7,"£42,190","£38,673","-£3,517",,,
,,February,£98,£98,-£1,"£41,162","£38,561","-£2,601",,,
,,March,£117,£103,-£14,"£51,553","£44,908","-£6,646",,,
,,April,£123,£109,-£13,"£54,759","£49,831","-£4,928",,,
,,May,£134,£113,-£21,"£63,632","£52,127","-£11,505",,,
,,June,£142,£135,-£7,"£65,751","£63,514","-£2,237",,,
,,July,£136,£143,£7,"£64,491","£66,277","£1,786",,,
,,August,£121,£113,-£8,"£55,720","£52,744","-£2,976",,,
,,September,£134,£134,£1,"£59,480","£63,137","£3,658",,,
,,October,£135,£127,-£8,"£60,801","£58,206","-£2,595",,,
,,November,£132,£126,-£6,"£58,814","£58,503",-£311,,,
,,December,£127,,-£127,"£58,974","£63,170","£4,196",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,Hyde Park Green,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£98,£98,£0,"£47,528","£45,947","-£1,582",,,
,,February,£106,£103,-£3,"£50,118","£43,916","-£6,202",,,
,,March,£125,£111,-£14,"£62,711","£58,464","-£4,247",,,
,,April,£137,£123,-£14,"£65,520","£65,731",£212,,,
,,May,£153,£134,-£19,"£74,363","£76,022","£1,659",,,
,,June,£174,£167,-£8,"£89,638","£91,913","£2,275",,,
,,July,£170,£190,£20,"£91,318","£108,726","£17,407",,,
,,August,£145,£156,£11,"£73,693","£87,186","£13,492",,,
,,September,£136,£159,£23,"£70,494","£88,609","£18,115",,,
,,October,£141,£165,£24,"£77,501","£90,218","£12,717",,,
,,November,£126,£166,£40,"£66,645","£89,389","£22,744",,,
,,December,£145,£169,£23,"£80,004","£92,794","£12,789",,,